# csv pt_br
About this web site;Sobre este site
About Us;Quem Somos
Access;Acesso
Action;Ação
Activate;Ativar
active;ativo
Add Comment;Adicionar Comentário
Add New;Adicionar
Admin;Admin
Age;Idade
already taken;ja foi usado
Applied;Aplicado
Approved;Aprovado
Arrived;Chegado
At;Em
Bootcamp;Bootcamp
By;Por
Cancel;Cancelar
Change Address;Alterar Endereço
Change Balances;Alterar Saldos
Check it, if you want to receive newsletters;Confira, se você quiser receber newsletters
Chinese;Chines
Chinese Name;Nome Chinês
Chinese Simplified;Chinês Simplificado
Chinese Traditional;Chinês Tradicional
City;Cidade
Click here, if you have an account and password;Clique aqui, se você tiver uma conta e senha
Click here, if you have an account before or do not know your password;Clique aqui, se voce ja tinha uma conta e não lembra da senha
Click here, to create a new account;Clique aqui, para criar uma nova conta
Clients;Clientes
Close;Fechar
Close Window;Fechar Janela
Combine;Combinar
Comment;Comentário
Comments;Comentários
Companies;Empresas
Company;Empresa
Company Name;Nome da Empresa
Confirm Password;Confirme Sua Senha
Contact;Contato
Contact Name;Nome do Contato
Contact Person;Pessoa de Contato
Contact Us;Fale Conosco
Control;Controle
Control Name;Nome do Controle
Control Set;Controle Set
Control Value;Valor do Controle
Controls;Controles
Counter;Contador
Country;País
Created;Criado
Created At;Criado Em
Created By;Criado Por
Created On;Criado No
Current Password;Senha Atual
Customer Type;Tipo de Cliente
Cut Off;Limite
Dashboard;Painel
Date;Data
Days;Dias
Debrief;Debrief
Delete;Deletar
Departed;Partido
Description;Descrição
Dictionary;Dicionário
Display;Exibir
Do you wish to continue to receive newsletters;Você deseja continuar a receber newsletters
Edit;Editar
Edit Comment;Editar Comentário
Email Address;Endereço de Email
Email Sent;Email Enviado
End;Final
Ended On;Terminou No
English;Inglês
Enter Your Details;Entrar Teus Detalhes
Error messages;Mensagens de Erro
Event;Evento
Events;Eventos
Export;Exportar
Fax;Fax
First;Primeiro
First Name;Nome
Full;Completo
Full Name;Nome Completo
Generate Excel;Gerar em Excel
Group;Grupo
Group Name;Nome do Grupo
Groups;Grupos
Hello;Olá
Help;Ajuda
Helper;Ajudante
Helpers;
Home;Casa
Inactivate;Desativar
Inactive;Desativado
Info;Informações
Internal Functions;Funções Internas
Is a member;É um membro
Key Word;Palabra Chave
Last Name;Sobrenome
Letter Body;Corpo da Carta
Letter Subject;Assunto da Carta
Letters;Cartas
Location;Localização
Log In;Entrar
Log in now;Entrar agora
Log Out;Sair
Lost your password;Perdeu sua senha
Main Industry;Industria Principal
Member Name;Nome do Membro
Members;Membros
Message;Mensagens
Message Body;Corpo da Mensagem
Message Name;Nome da Mensagem
Message Subject;Assunto da Mensagem
Messages;Mensagens
Mobile;Celular
My Info;Meu Info
Name;Nome
New Account Created;Nova Conta Criada
Number;Numero
Opened;Aberto
or;ou
Permissions;Permissões
Phone;Fone
please;favor de
Priority;Prioridade
Publish;Publicar
Resolution;Resolução
Role;Papel
Semana 3;Semana 3
Send;Enviar
Sentence;Sentença
Seq;Seq
Services;Serviços
Setting;Definição
Setting Set;Definição Set
Settings;Definições
Sign Up;Registrar
Size;Tamanho
Start;Início
State;Estado
Status;Estado
Subject;Assunto
Targeted;Alvo
Template;Modelo
Template Type;Tipo de modelo
Templates;Modelos
Tickets;Redatos
Total;Total
Translations;Traduções
Type;Tipo
Updated;Atualizado
User;Usuário
User Resource;Recurso do Usuário
User Role;Papel do Usuário
Users;Usuários
Value;Valor
want to view;gostaria de rever
Week;Semana
Welcome;Bem vindo
Your Profile;Seu Perfil
