# csv zh_cn
About this web site;关于这个网站
About Us;关于我们
Access;
Action;
Activate;启用
active;活跃
Add Comment;给予评论
Add New;添加新的
Admin;
Age;
already taken;
Applied;
Approved;
Arrived;
At;
Bootcamp;
By;
Cancel;取消
Change Address;更改地址
Change Balances;更改余额
Check it, if you want to receive newsletters;如果你想收到简讯，请查看
Chinese;中文
Chinese Name;中文名字
Chinese Simplified;简体中文
Chinese Traditional;中文繁体
City;城市
Click here, if you have an account and password;如果您有一个帐户和密码点击这里
Click here, if you have an account before or do not know your password;如果您之前有一个帐户或不知道您的密码点击这里
Click here, to create a new account;点击这里开设新的帐户
Clients;
Close;关闭
Close Window;关闭窗口
Combine;
Comment;意见
Comments;评论
Companies;公司
Company;
Company Name;公司名称
Confirm Password;确认密码
Contact;
Contact Name;联系人姓名
Contact Person;联系人
Contact Us;
Control;
Control Name;控制名称
Control Set;
Control Value;控制值
Controls;控件
Counter;
Country;国家
Created;创建
Created At;创建于
Created By;创建者
Created On;创建于
Current Password;现有密码
Customer Type;客户类型
Cut Off;
Dashboard;
Date;
Days;天数
Debrief;
Delete;删除
Departed;
Description;描述
Dictionary;词典
Display;
Do you wish to continue to receive newsletters;你想继续获得简报吗
Edit;编辑
Edit Comment;编辑注解
Email Address;电邮地址
Email Sent;已发邮件
End;
Ended On;结束于
English;英语
Enter Your Details;输入您的详细资料
Error messages;错误信息
Event;
Events;
Export;
Fax;传真
First;第一，首先
First Name;名字
Full;
Full Name;
Generate Excel;生成的电子表格
Group;
Group Name;组名称
Groups;
Hello;
Help;帮助
Helper;
Helpers;
Home;首页
Inactivate;撤销
Inactive;不常用
Info;信息
Internal Functions;内部功能
Is a member;是否是会员
Key Word;关键词
Last Name;姓
Letter Body;信件内容
Letter Subject;主题
Letters;信函
Location;
Log In;登录
Log in now;现在登陆
Log Out;退出
Lost your password;忘记密码
Main Industry;主营行业
Member Name;会员名称
Members;会员
Message;信息
Message Body;信息内容
Message Name;信息名称
Message Subject;信息主题
Messages;信息/邮件
Mobile;手机
My Info;
Name;名字
New Account Created;开设了新账户
Number;
Opened;
or;
Permissions;
Phone;
please;
Priority;
Publish;
Resolution;
Role;
Semana 3;
Send;
Sentence;
Seq;
Services;
Setting;
Setting Set;
Settings;
Sign Up;
Size;
Start;
State;
Status;
Subject;
Targeted;
Template;
Template Type;
Templates;
Tickets;
Total;
Translations;
Type;
Updated;
User;
User Resource;
User Role;
Users;
Value;
want to view;
Week;
Welcome;
Your Profile;
